ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
638786;1739;ZGORNJA ŠIŠKA;LJUBLJANA;6767;32;;;1;LJUBLJANA;RAKUŠEVA ULICA;32;;52;2;2009;1;;;101;1/1;;;;;;;;2 - Stanovanje;nadstropje;;101,1;81,3; bivalni prostor | klet | odprta terasa, balkon, loža;;
639526;1697;LANIŠČE;ŠKOFLJICA;2084;30;;;1;ŠKOFLJICA;OB POTOKU;32;;;14;2009;1;;1;3,7;1/1;;;;;;;;33 - Klet;pritličje;;3,7;3,7; klet;;
639012;1073;TRNOVLJE;CELJE;2364;1;;;1;;;;;;1;2000;1;;;222;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;222,1;180,1; bivalni prostor | klet | zaprta terasa, balkon, loža;;
635541;2183;ZASIP;BLED;323;1;;;1;ZASIP;STAGNE;24;;;1;1936;1;;;146;1/2;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;145,7;101,5; bivalni prostor | klet | odprta terasa, balkon, loža;;
640473;1534;PETROVA VAS;;412;1;;;1;;;;;;14;1860;1;;;27;2/3;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;27;27; kmetijski prostor;;
632106;659;TABOR;MARIBOR;4607;198;;;1;MARIBOR;ŽOLGARJEVA ULICA;14;;198;4;2009;1;;;12;1/1;;;;;;;;15 - Garaža;klet;;12,3;12,3; garaža;;
637577;2490;POSTOJNA;POSTOJNA;82;8;;;1;POSTOJNA;GREGORČIČEV DREVORED;12;;4;2;1965;1;;;59;1/2;;;;;;;;2 - Stanovanje;pritličje;;59,4;52,3; bivalni prostor | klet | odprta terasa, balkon, loža;;
635247;1322;KRŠKO;KRŠKO;1534;1;;;1;;;;;;13;1999;1;;;30;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;30;30; kmetijski prostor;;
633386;2122;HUJE;KRANJ;234;8;;;1;KRANJ;VREČKOVA ULICA;9;;8;2;1975;1;;;94;1/1;;;;;;;;2 - Stanovanje;nadstropje;;93,8;79,8; bivalni prostor | klet | zaprta terasa, balkon, loža;;
633267;80;KRNCI;MORAVSKE TOPLICE;90;1;;;1;KRNCI;KRNCI;20;;;1;1903;1;;;70;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;70;53,1; bivalni prostor | klet;;
634036;995;ŠEMPETER V SAVINJSKI DOLINI;ŽALEC;1552;69;;;1;;;;;69;14;2012;1;;;3;1/1;;;;;;;;33 - Klet;nadstropje;;3,4;3,4; klet;;
641952;2191;ŽELEČE;BLED;233;14;;;1;BLED;LJUBLJANSKA CESTA;9;;9;14;1885;1;;;14;1/1;;;;;;;;34 - Shramba, sušilnica, pralnica;nadstropje;;14,1;14,1; shramba, sušilnica, pralnica;;
